Student_ID,Survey_Date,School_Name,Gender,City_Type,Family_Income,Plus2_Stream,Plus2_GPA,Entrance_Score_IOE,Entrance_Score_CEE,Entrance_Score_CMAT,Grade_English,Grade_Nepali,Grade_Social,Grade_Math,Grade_Physics,Grade_Chemistry,Grade_Biology,Grade_Computer,Grade_Accounts,Grade_Economics,Grade_Law,Interest_Technology,Interest_Math_Stats,Interest_Art_Design,Interest_Business_Money,Interest_Social_People,Interest_Bio_Health,Interest_Nature_Agri,Interest_Construction,Interest_Law_Politics,Interest_Hospitality_Food,Interest_Gaming_Entertainment,Interest_History_Culture,Suggested_Job_Role
STU_0407714,26-03-2023,Trinity,Male,Urban,Low,Science_Bio,3.37,0,104,0,A+,A,A,A,A,A,A+,NG,NG,NG,NG,2,3,3,1,4,10,2,4,4,2,3,4,Med_BSc_Nursing
STU_7363842,23-06-2023,St. Xaviers,Male,Rural,,Science_Physical,2.68,79,0,0,A,A,B+,A+,B+,A,NG,A+,NG,NG,NG,4,10,1,3,1,3,1,4,4,3,3,2,IT_Data_Scientist
STU_7000352,20-04-2023,Gandaki Boarding,Female,Rural,Low,Humanities,2.97,0,0,0,A,A,A,NG,NG,NG,NG,NG,NG,A+,NG,4,10,2,10,1,1,1,4,10,4,3,4,Med_MBBS_Doctor
STU_8104447,01-02-2023,St. Xaviers,Male,Urban,Low,Management,3.9,0,0,100,A+,A+,A+,A+,NG,NG,NG,A,A,A+,NG,3,2,1,2,3,2,2,3,4,2,4,2,IT_Cloud_Engineer
STU_2144229,09-10-2023,Gandaki Boarding,Male,Urban,High,Science_Physical,3.28,107,0,0,A,A,A,A+,A+,B+,NG,A+,NG,NG,NG,8,2,3,2,1,3,1,4,2,3,1,4,IT_Cloud_Engineer
STU_9814240,02-01-2023,SOS Hermann,Female,Urban,Medium,Management,3.76,0,0,70,A+,A+,A,A+,NG,NG,NG,A,A+,A+,NG,1,2,2,2,2,1,4,2,2,3,2,3,Mgmt_BBA_Marketing
STU_4995712,24-10-2023,Budhanilkantha,Female,Rural,Medium,Humanities,2.68,0,0,0,A,B+,B+,NG,NG,NG,NG,NG,NG,A,NG,3,9,1,8,4,3,1,2,10,2,2,3,Hum_Economist
STU_5819015,26-07-2023,Global College,Female,Urban,Low,Science_Physical,2.96,85,0,0,B+,A,A,A,B+,A,NG,A,NG,NG,NG,10,2,3,1,1,1,1,1,4,1,3,4,IT_QA_Engineer
STU_6532632,10-12-2023,Kathmandu Model,Male,Urban,Medium,Science_Bio,2.57,0,84,0,B+,A,B+,B+,A,A,A,NG,NG,NG,NG,1,1,3,4,1,2,9,1,3,2,2,2,Med_Veterinary
STU_0229883,13-08-2023,Kathmandu Model,Female,Rural,Medium,Management,3.06,0,0,80,A,A,B+,A+,NG,NG,NG,A,A,A+,NG,3,10,1,10,2,3,4,1,10,1,3,3,Hum_Economist
STU_9182871,06-11-2023,Public High,Female,Urban,Medium,Science_Physical,3.38,111,0,0,A,A,A,A+,A+,A,NG,A,NG,NG,NG,1,3,1,4,4,2,1,10,1,4,2,1,Eng_Mechanical
STU_5290680,08-03-2023,Motherland,Female,Urban,Medium,Science_Bio,3.52,0,114,0,A+,A,A+,A,A,A+,A+,NG,NG,NG,NG,2,3,1,1,2,8,4,1,2,1,3,3,Med_BSc_Nursing
STU_5196103,17-03-2023,Trinity,Female,Rural,Low,Management,3.15,0,0,87,A,A,A,A,NG,NG,NG,A+,B+,A,NG,3,1,1,8,3,2,1,3,1,1,2,2,Mgmt_Supply_Chain
STU_8788221,28-07-2023,Trinity,Male,Urban,High,Science_Physical,2.95,87,0,0,B+,A,A,A,A,A,NG,A+,NG,NG,NG,8,1,2,3,2,1,1,1,1,2,3,4,Eng_Computer_Engineer
STU_1974672,26-12-2023,Kathmandu Model,Female,Rural,Medium,Science_Physical,2.68,99,0,0,B+,A,A,A,B+,B+,NG,A,NG,NG,NG,9,2,1,2,2,2,4,4,1,3,1,3,IT_Cloud_Engineer
STU_3882632,23-05-2023,St. Xaviers,Female,Urban,Medium,Management,3.94,0,0,100,A+,A+,A+,A+,NG,NG,NG,A+,A+,A+,NG,1,1,2,10,3,3,1,2,10,3,4,3,Mgmt_CA
STU_9191921,26-06-2023,SOS Hermann,Male,Rural,Low,Science_Bio,3.99,0,94,0,A+,A+,A+,A,A+,A+,A+,NG,NG,NG,NG,3,4,4,3,2,9,1,1,1,1,4,1,Med_Health_Assistant_HA
STU_2709577,06-07-2023,Global College,Female,Urban,High,Management,3.47,0,0,100,A,A+,A+,A+,NG,NG,NG,B+,A+,A+,NG,3,3,3,8,4,2,2,4,1,1,3,1,Mgmt_Supply_Chain
STU_6195636,07-03-2023,Trinity,Male,Urban,Medium,Science_Physical,3.05,114,0,0,A,B+,A,A+,A+,A,NG,B+,NG,NG,NG,4,9,2,3,4,3,2,2,2,2,2,3,Eng_Geomatics
STU_6350245,27-08-2023,Motherland,Male,Urban,Medium,Science_Physical,3.28,72,0,0,A,A+,A,A+,A,A,NG,A+,NG,NG,NG,2,3,3,10,3,1,4,1,2,1,4,3,Mgmt_Entrepreneur
STU_6266092,26-04-2023,Public High,Female,Rural,Medium,Science_Physical,2.23,79,0,0,B+,B+,B+,B+,A,B,NG,B+,NG,NG,NG,3,8,1,3,3,1,3,3,2,4,4,4,Eng_Geomatics
STU_6748573,05-05-2023,SOS Hermann,Male,Urban,Medium,Science_Physical,2.77,75,0,0,B+,A,B+,A,A,B+,NG,A,NG,NG,NG,10,2,1,3,1,3,1,1,1,2,3,4,Eng_Computer_Engineer
STU_7286459,22-08-2023,St. Xaviers,Female,Urban,High,Science_Physical,3.2,107,0,0,A,A,A,A+,A+,A,NG,B+,NG,NG,NG,2,4,3,2,4,3,1,9,2,3,4,3,Eng_Civil_Engineer
STU_9867585,01-09-2023,Kathmandu Model,Female,Urban,Medium,Science_Physical,3.39,84,0,0,A,A,B+,A+,A,A,NG,A,NG,NG,NG,4,1,1,8,4,3,4,2,3,1,1,2,Mgmt_Entrepreneur
STU_6202235,19-03-2023,Kathmandu Model,Male,Rural,Medium,Science_Bio,3.69,0,94,0,A+,A,A+,A,A,A+,A+,NG,NG,NG,NG,3,3,1,2,1,9,1,1,2,1,2,2,Med_MBBS_Doctor
STU_4340837,22-10-2023,Budhanilkantha,Female,Rural,Low,Management,2.78,0,0,91,A,B+,A,B+,NG,NG,NG,B+,B+,A,NG,4,2,3,2,1,2,3,1,4,2,3,1,Mgmt_BBA_Marketing
STU_2388577,07-09-2023,Global College,Female,Urban,Low,Humanities,2.91,0,0,0,A,B+,A+,NG,NG,NG,NG,NG,NG,A,NG,1,2,1,2,3,3,4,1,3,3,1,2,Hum_Social_Worker_BSW
STU_6778995,31-10-2023,SOS Hermann,Female,Rural,Low,Science_Bio,2.59,0,79,0,A,B+,A,B+,A,A+,B+,NG,NG,NG,NG,1,3,1,3,2,4,8,2,2,1,4,3,Agri_Scientist
STU_1234382,10-05-2023,SOS Hermann,Female,Urban,Low,Science_Physical,3.29,117,0,0,A,A+,A,A,A+,A,NG,A+,NG,NG,NG,10,1,1,3,1,3,2,2,4,1,9,2,IT_Game_Developer
STU_2090028,20-03-2023,BernHardt,Male,Urban,Medium,Science_Bio,3.07,0,63,0,B+,A,A,A+,A,A+,A+,NG,NG,NG,NG,2,4,3,3,3,8,2,3,3,3,4,2,Med_BDS_Dentist
STU_4236977,09-06-2023,Kathmandu Model,Female,Rural,Medium,Science_Physical,3.28,95,0,0,A+,A,A,A,A,A+,NG,A+,NG,NG,NG,10,4,1,2,2,2,3,2,1,2,2,1,IT_Cloud_Engineer
STU_3706617,03-03-2023,BernHardt,Male,Urban,Low,Science_Bio,2.81,0,75,0,A,B+,A,A,A,A+,A,NG,NG,NG,NG,3,2,2,2,2,2,9,3,3,2,2,3,Agri_Scientist
STU_5388196,29-12-2023,Gandaki Boarding,Female,Rural,Medium,Science_Physical,4,93,0,0,A+,A+,A+,A+,A+,A+,NG,A+,NG,NG,NG,9,3,2,1,2,1,1,3,4,1,2,3,Eng_Computer_Engineer
STU_6974853,14-02-2023,Global College,Female,Urban,High,Science_Bio,3.19,0,73,0,A,A+,B+,A+,A,A+,A,NG,NG,NG,NG,1,2,1,2,2,9,2,3,2,3,1,4,Med_B_Pharmacy
STU_3434322,26-12-2023,BernHardt,Male,Rural,Medium,Science_Bio,2.89,0,133,0,B+,B,A,B+,A,A+,A+,NG,NG,NG,NG,4,2,1,1,3,10,4,1,3,4,2,2,Med_B_Pharmacy
STU_2452474,17-02-2023,Budhanilkantha,Female,Rural,Medium,Science_Bio,3.03,0,97,0,A,A,A,A,A,A,A,NG,NG,NG,NG,3,3,1,2,2,9,4,1,2,2,2,3,Med_Public_Health_BPH
STU_4547372,29-04-2023,Public High,Male,Rural,Low,Science_Physical,2.37,84,0,0,B+,B,A,B+,A,B+,NG,B+,NG,NG,NG,9,4,1,1,3,1,3,3,1,4,3,4,IT_QA_Engineer
STU_1725759,01-06-2023,Global College,Male,Urban,High,Science_Bio,3.08,0,78,59,A,A,B+,A,A,A+,A+,NG,NG,NG,NG,1,2,2,1,3,9,4,2,2,3,2,3,Med_MBBS_Doctor
STU_2956184,21-10-2023,Budhanilkantha,Male,Urban,Medium,Science_Physical,3.52,118,0,0,B+,A+,A+,A,A,A+,NG,A,NG,NG,NG,2,3,2,4,1,9,3,1,2,1,4,2,Med_Public_Health_BPH
STU_2810456,18-03-2023,Kathmandu Model,Female,Urban,Low,Science_Bio,3.33,0,103,0,A,A,A,A,A,A+,A+,NG,NG,NG,NG,1,2,1,1,1,2,8,4,3,1,2,2,Agri_Scientist
STU_6725448,06-06-2023,SOS Hermann,Male,Urban,Medium,Science_Bio,3.69,0,92,70,A,A,A,A+,A+,A+,A+,NG,NG,NG,NG,3,1,1,3,4,3,8,4,1,3,3,4,Agri_Scientist
STU_6202514,29-08-2023,BernHardt,Female,Urban,High,Science_Bio,4,0,97,0,A+,A+,A+,A+,A+,A+,A+,NG,NG,NG,NG,2,1,3,4,1,8,1,1,3,4,2,1,Med_Public_Health_BPH
STU_0227581,06-10-2023,St. Xaviers,Male,Rural,High,Science_Bio,3.28,0,111,0,A+,A,B+,A,A,A+,A+,NG,NG,NG,NG,1,4,2,4,4,10,4,2,1,1,3,1,Med_MBBS_Doctor
STU_0758944,25-12-2023,Public High,,Rural,Medium,Management,3.21,0,0,95,A+,A,A+,B+,NG,NG,NG,B+,A+,A,NG,,3,3,3,2,3,2,3,1,2,3,4,Mgmt_HR_Manager
STU_4587602,28-10-2023,BernHardt,Male,Rural,Low,Science_Physical,3.1,98,0,0,A,A+,B+,A+,A,A+,NG,A+,NG,NG,NG,1,9,3,1,4,1,2,4,2,2,3,3,IT_Data_Scientist
STU_4691564,29-08-2023,St. Xaviers,Male,Urban,Medium,Management,3.73,0,0,86,A,A+,A+,A,NG,NG,NG,A,A+,A+,NG,2,1,2,9,2,3,2,2,9,2,2,1,Mgmt_CA
STU_8362985,15-02-2023,Gandaki Boarding,Female,Rural,Low,Science_Bio,2.98,0,100,0,A,A+,B+,A,A,A,A+,NG,NG,NG,NG,2,2,1,1,4,9,3,4,4,1,3,2,Hum_Political_Scientist
STU_8808405,13-09-2023,BernHardt,,Rural,Low,Management,4,0,0,100,A+,A+,A+,A+,NG,NG,NG,A+,A+,A+,NG,4,3,2,8,4,2,3,1,1,4,2,1,Mgmt_Entrepreneur
STU_9461962,09-06-2023,Kathmandu Model,Male,Rural,High,Humanities,2.72,0,0,0,B+,A,A,NG,NG,NG,NG,NG,NG,A,NG,2,2,4,4,3,1,4,3,8,4,2,10,Hum_Political_Scientist
STU_9941847,28-12-2023,Trinity,Male,Rural,Low,Science_Bio,3.9,0,122,0,A+,A+,A+,A+,A+,A+,A+,NG,NG,NG,NG,2,4,2,1,1,9,2,4,2,4,4,4,Med_B_Pharmacy
STU_3958827,24-06-2023,SOS Hermann,Female,Urban,High,Humanities,3.62,0,0,0,A+,A+,A+,NG,NG,NG,NG,NG,NG,A+,NG,3,1,3,1,2,2,3,3,9,2,2,4,Hum_Journalist
STU_8568443,13-07-2023,Trinity,Female,Rural,Medium,Management,3.29,0,0,96,A+,A,A,A+,NG,NG,NG,A,A,B+,NG,3,1,4,8,3,4,2,3,10,3,2,1,Law_Corporate_Lawyer
STU_2707783,11-09-2023,Kathmandu Model,Female,Urban,Medium,Science_Physical,3.52,93,0,0,A,A,A,A+,A,A,NG,A+,NG,NG,NG,10,2,2,4,3,3,2,2,2,3,1,4,IT_Software_Engineer
STU_0901890,23-06-2023,Public High,Female,Urban,Low,Management,3.42,0,0,83,A+,A,A+,A+,NG,NG,NG,A,B+,A,NG,3,1,4,4,2,3,2,4,2,3,3,3,Mgmt_HR_Manager
STU_8833778,13-11-2023,Budhanilkantha,Male,Urban,Low,Science_Physical,3.54,101,0,89,A+,A+,A,A,A,A,NG,A+,NG,NG,NG,9,1,10,2,1,3,4,3,1,4,4,2,IT_UI_UX_Designer
STU_7711203,31-05-2023,Budhanilkantha,Female,Urban,Low,Management,3.4,0,0,88,A,A+,A,A+,NG,NG,NG,A+,A+,A+,NG,2,3,1,9,2,1,1,2,9,4,4,1,Mgmt_CA
STU_5710862,15-03-2023,BernHardt,Male,Rural,Medium,Science_Bio,2.36,0,99,0,B+,B+,B+,B,B+,B+,B+,NG,NG,NG,NG,3,1,1,4,2,9,4,2,2,3,4,1,Med_MBBS_Doctor
STU_8425099,24-11-2023,Public High,Female,Rural,High,Management,3,0,0,100,B+,A+,A,A+,NG,NG,NG,A,A,A,NG,1,1,,10,1,2,4,2,2,3,2,2,Mgmt_Supply_Chain
STU_1342559,12-01-2023,Public High,Male,Urban,Low,Management,3.54,0,0,98,A+,A+,A+,A,NG,NG,NG,A+,A+,A+,NG,2,1,3,3,3,3,4,4,4,2,2,2,Mgmt_HR_Manager
STU_9789728,22-11-2023,Global College,Male,Urban,Medium,Science_Physical,4,108,0,0,A+,A+,A+,A+,A+,A+,NG,A+,NG,NG,NG,3,10,3,4,2,2,2,3,2,1,4,4,Eng_Geomatics
STU_6963457,01-06-2023,,Female,Rural,Medium,Science_Bio,3.05,0,74,0,A,B+,A,A,A,A+,A,NG,NG,NG,NG,2,4,4,1,1,10,4,1,4,2,1,2,Med_Health_Assistant_HA
STU_5982848,28-02-2023,Motherland,Female,Urban,High,Law,3.17,0,0,0,A+,A,B+,NG,NG,NG,NG,NG,NG,A+,A+,3,3,3,8,4,4,4,2,8,2,4,2,Law_Corporate_Lawyer
STU_9837054,27-10-2023,Public High,Male,Urban,Low,Management,3.24,0,0,81,A+,A,A,A,NG,NG,NG,B+,A+,A,NG,2,3,3,1,1,4,2,2,1,1,3,1,Mgmt_BBA_Marketing
STU_6469366,25-12-2023,Gandaki Boarding,Male,Urban,Medium,Science_Bio,3.41,0,113,81,A,A,A+,A,B+,A+,A+,NG,NG,NG,NG,1,2,4,4,1,3,9,1,1,4,1,1,Med_Veterinary
STU_3408146,03-08-2023,Trinity,Male,Urban,High,Science_Bio,3.44,0,100,0,A,A,A,A,A+,A,A+,NG,NG,NG,NG,3,1,1,1,2,4,10,4,1,2,4,3,Agri_Forestry
STU_8692624,05-07-2023,Global College,Female,Rural,High,Science_Physical,3.41,98,0,0,A,A+,B+,A+,A,A+,NG,A+,NG,NG,NG,10,4,2,4,2,3,1,3,4,1,4,2,IT_Cloud_Engineer
STU_0299802,11-01-2023,BernHardt,Male,Urban,High,Science_Physical,3.35,118,0,0,A,A,A+,A+,A,A+,NG,A+,NG,NG,NG,9,3,4,2,1,1,1,1,2,2,4,2,IT_CyberSecurity
STU_0722831,02-01-2023,BernHardt,Male,Urban,Low,Science_Bio,3.22,0,96,0,A,A,A,A+,A,A+,A+,NG,NG,NG,NG,2,4,1,3,2,8,2,1,3,3,3,1,Med_B_Pharmacy
STU_1813750,27-01-2023,Public High,Male,Urban,Low,Science_Physical,3.31,79,0,86,A,B+,A+,A+,A+,B+,NG,A,NG,NG,NG,4,2,3,3,3,2,2,10,2,2,2,1,Eng_Civil_Engineer
STU_4751590,04-06-2023,Trinity,Male,Urban,Medium,Law,3.1,0,0,0,A,B+,A,NG,NG,NG,NG,NG,NG,A+,A+,2,2,2,8,3,3,1,1,9,3,3,4,Law_Corporate_Lawyer
STU_4900602,08-10-2023,BernHardt,Female,Urban,High,Science_Bio,3.5,0,85,0,A,A,A,A,A,A,A+,NG,NG,NG,NG,3,4,3,3,4,9,4,2,2,2,1,1,Med_Health_Assistant_HA
STU_0786772,27-04-2023,Gandaki Boarding,Female,Urban,Low,Science_Bio,3.5,0,103,83,A+,A,A,A,A+,A,A+,NG,NG,NG,NG,3,2,4,2,3,2,1,4,4,9,2,3,Mgmt_Hotel_Mgmt_BHM
STU_3296400,19-02-2023,SOS Hermann,Female,Urban,High,Management,2.93,0,0,70,B+,B+,A+,B+,NG,NG,NG,B+,A,A+,NG,3,4,3,8,2,1,2,3,4,2,1,3,Mgmt_BBA_Finance
STU_6489490,04-11-2023,Public High,Female,Urban,High,Science_Bio,3.39,0,80,0,A,A,A,A,A+,A+,A+,NG,NG,NG,NG,3,1,2,1,2,4,8,3,1,2,3,2,Med_Veterinary
STU_2183758,15-11-2023,Trinity,Female,Urban,Medium,Humanities,3.51,0,0,0,A+,A,A+,NG,NG,NG,NG,NG,NG,A,NG,3,2,1,3,4,3,1,4,8,4,1,10,Hum_Political_Scientist
STU_0279311,05-02-2023,SOS Hermann,Male,Rural,Medium,Science_Physical,2.54,96,0,72,B+,A,B,A,A+,B+,NG,A+,NG,NG,NG,10,4,4,2,4,3,4,1,1,1,3,3,Eng_Computer_Engineer
STU_3413395,21-03-2023,Budhanilkantha,Female,Rural,Medium,Science_Physical,2.36,90,0,0,B+,A,B+,A,B+,B+,NG,A,NG,NG,NG,,4,8,2,2,1,3,10,1,1,4,4,Eng_Architecture
STU_4427142,07-09-2023,BernHardt,Male,Urban,Medium,Science_Bio,2.9,0,96,0,B+,B+,A+,B+,B+,A,A+,NG,NG,NG,NG,1,2,3,3,2,4,1,1,2,4,3,1,Hum_Psychologist
STU_0321230,31-03-2023,SOS Hermann,Female,Rural,High,Science_Physical,2.96,82,0,0,A,A,B+,A+,A+,B+,NG,A,NG,NG,NG,,2,3,2,4,3,1,9,1,1,2,1,Eng_Civil_Engineer
STU_0800985,27-07-2023,BernHardt,Female,Urban,Medium,Science_Bio,3.88,0,107,0,A+,A+,A,A,A+,A+,A+,NG,NG,NG,NG,2,1,1,3,4,1,4,4,4,9,4,4,Mgmt_Hotel_Mgmt_BHM
STU_8908255,08-06-2023,SOS Hermann,Male,Urban,Low,Science_Bio,2.36,0,83,0,B,B+,A,A,B+,A+,A,NG,NG,NG,NG,1,3,2,1,1,1,1,4,2,2,3,3,Med_Lab_Technician
STU_5159378,01-05-2023,Kathmandu Model,Male,Urban,Low,Science_Physical,3.32,107,0,0,A,A,A+,A+,B+,B+,NG,A+,NG,NG,NG,8,1,2,3,2,1,1,3,3,3,4,2,IT_Cloud_Engineer
STU_7617477,15-12-2023,Gandaki Boarding,Female,Urban,Low,Science_Bio,3.59,0,111,0,A,B+,A,A+,A,A+,A+,NG,NG,NG,NG,3,1,4,2,3,1,10,4,3,1,2,2,Agri_Scientist
STU_1043205,25-08-2023,Public High,Female,Rural,Medium,Management,2.92,0,0,100,A+,B+,B+,A+,NG,NG,NG,A,B+,A+,NG,1,2,4,8,1,2,2,2,2,4,4,4,Mgmt_Entrepreneur
STU_0886545,19-08-2023,Budhanilkantha,Male,Urban,High,Science_Bio,2.98,0,97,0,A,A+,A,B+,A,A,A+,NG,NG,NG,NG,2,4,,3,3,1,8,3,4,3,4,1,Agri_Scientist
STU_9488906,07-05-2023,Budhanilkantha,Female,Urban,Medium,Science_Physical,2.64,70,0,0,B+,A,B+,A,A,A,NG,A,NG,NG,NG,4,2,,10,4,3,4,1,3,4,4,4,Mgmt_Entrepreneur
STU_3243576,18-06-2023,St. Xaviers,Male,Rural,Low,Science_Physical,3.68,108,0,0,A+,A+,A+,A+,A,A+,NG,A+,NG,NG,NG,10,4,3,4,4,2,4,2,3,2,3,1,IT_Cloud_Engineer
STU_3513963,29-12-2023,BernHardt,Male,Urban,Low,Science_Physical,2.78,89,0,0,B,A+,B+,B+,A,A,NG,A+,NG,NG,NG,9,2,4,2,2,3,1,4,1,3,9,1,IT_Game_Developer
STU_6433129,09-04-2023,Gandaki Boarding,Male,Urban,Medium,Science_Bio,3.97,0,116,0,A+,A+,A+,A,A+,A+,A+,NG,NG,NG,NG,1,3,4,4,1,8,3,1,1,1,4,3,Med_MBBS_Doctor
STU_5575686,12-07-2023,BernHardt,Male,Rural,Medium,Science_Physical,3.34,118,0,0,A,A+,A+,A+,A,A,NG,A+,NG,NG,NG,8,2,3,1,2,1,4,3,3,3,3,2,Eng_Computer_Engineer
STU_7037967,30-04-2023,Gandaki Boarding,Female,Urban,Low,Humanities,2.98,0,0,0,B+,A,A,NG,NG,NG,NG,NG,NG,A+,NG,3,9,2,8,3,3,4,3,9,2,4,3,Hum_Economist
STU_4235988,09-05-2023,Kathmandu Model,Male,Urban,Medium,Science_Physical,3.35,115,0,0,A+,B+,B+,A,A+,A,NG,A+,NG,NG,NG,10,3,4,1,4,2,3,4,4,4,2,4,IT_CyberSecurity
STU_7510145,16-02-2023,SOS Hermann,Female,Rural,High,Science_Bio,3.27,0,121,0,A,A,A,A,A,A+,A+,NG,NG,NG,NG,2,1,4,2,3,9,3,1,2,3,4,1,Med_MBBS_Doctor
STU_5293098,16-03-2023,Motherland,Male,Urban,Medium,Science_Physical,2.79,95,0,0,A,A,A,A,A,B+,NG,A,NG,NG,NG,1,2,2,1,1,2,1,8,2,3,1,3,Eng_Civil_Engineer
STU_7469021,28-09-2023,BernHardt,Female,Rural,High,Management,2.2,0,0,98,B+,B,B+,B+,NG,NG,NG,B,C+,A,NG,1,4,2,8,2,1,2,2,4,4,4,1,Mgmt_Supply_Chain
STU_1266084,09-01-2023,Trinity,Male,Urban,Medium,Humanities,3.2,0,0,0,A+,A,A,NG,NG,NG,NG,NG,NG,A,NG,4,1,2,3,2,3,1,2,10,1,1,4,Hum_Journalist
STU_2035165,04-02-2023,Motherland,Male,Rural,Low,Humanities,3.17,0,0,0,B+,A,A+,NG,NG,NG,NG,NG,NG,A,NG,2,4,4,3,4,4,3,2,3,1,2,2,Hum_Psychologist
STU_6920737,25-10-2023,St. Xaviers,Female,Urban,Low,Science_Bio,3.61,0,88,0,A,A+,A,A+,A,A+,A+,NG,NG,NG,NG,1,1,1,1,1,3,2,1,3,2,3,1,Med_Lab_Technician
STU_8174668,23-08-2023,St. Xaviers,Male,Urban,Medium,Management,3.28,0,0,98,A,A,A,A,NG,NG,NG,A,B+,A,NG,8,4,4,3,1,1,2,4,1,3,4,2,Mgmt_Hotel_Mgmt_BHM
STU_3338406,02-07-2023,Public High,Female,Urban,Medium,Science_Physical,2.96,108,0,0,B+,B+,B+,A+,A+,A,NG,A,NG,NG,NG,10,4,4,2,3,2,1,4,2,4,2,1,IT_CyberSecurity
STU_4449316,23-09-2023,Motherland,Male,Urban,Medium,Science_Bio,3.21,0,88,80,A,A,A,A+,A,A,A+,NG,NG,NG,NG,4,1,3,4,3,8,3,3,2,2,4,2,Med_B_Pharmacy
STU_5306364,29-06-2023,Gandaki Boarding,Female,Urban,Medium,Management,2.87,0,0,100,B+,B+,B+,A+,NG,NG,NG,A+,B+,A,NG,4,1,3,10,3,2,1,2,1,2,4,4,Mgmt_Entrepreneur
STU_2990638,16-01-2023,Kathmandu Model,Male,Urban,,Science_Physical,3.78,73,0,74,A+,A+,A+,A+,A+,A+,NG,A+,NG,NG,NG,10,2,2,2,3,3,4,2,3,2,3,4,Eng_Computer_Engineer
STU_2639014,10-07-2023,Motherland,Female,Urban,High,Management,2.8,0,0,87,B+,A,A,A,NG,NG,NG,B+,B+,A,NG,3,2,2,10,1,1,4,4,2,1,1,4,Mgmt_Entrepreneur
STU_3621743,02-03-2023,Trinity,Female,Urban,Low,Science_Bio,3.24,0,91,0,A,A+,A,A,A,A,A+,NG,NG,NG,NG,2,3,3,3,4,9,1,3,2,3,3,1,Med_BSc_Nursing
STU_6921017,16-12-2023,St. Xaviers,Female,Rural,Medium,Science_Bio,3.23,0,66,84,A,A,A,A,A+,A,A+,NG,NG,NG,NG,2,3,3,3,3,10,4,2,2,2,4,1,Med_Health_Assistant_HA
STU_8879675,13-04-2023,St. Xaviers,Female,Urban,Low,Science_Physical,3.01,88,0,0,A,A,A,A+,A,A,NG,A,NG,NG,NG,2,3,1,4,4,2,3,8,3,1,3,4,Eng_Civil_Engineer
STU_4918037,27-09-2023,Gandaki Boarding,Female,Urban,Low,Science_Bio,3.61,0,79,0,A+,A+,A,A,A+,A,A+,NG,NG,NG,NG,2,1,3,2,2,1,4,3,4,8,4,2,Mgmt_Supply_Chain
